Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Rough Solution,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
"An economic production function has constant returns to scale. If labor and capital both double, by what factor does output increase?",Economic Production,2.0,2.0,2,2,"An economic production function has constant returns to scale. If labor and capital both double, by what factor does output increase?","1. Understand the concept of constant returns to scale, which states that if all inputs are increased by a certain factor, the output will increase by the same factor.

2. Identify the inputs in the production function, which in this case are labor and capital.

3. Recognize that doubling both labor and capital means multiplying each input by a factor of two.

4. Apply the definition of constant returns to scale to conclude that the output will also increase by the same factor as the inputs.

5. Conclude that if both labor and capital are doubled, the output will increase by a factor of two.",2,"def solution():
    return 2",{},False,
"A gas occupies 2 L at 1 atm pressure. If the pressure is increased to 3 atm at constant temperature, What is the new volume in liters?",Boyle's Law,0.67,0.6666666666666666,0.6666666666666666,0.6666666666666666,"A gas occupies var_A L at var_B atm pressure. If the pressure is increased to var_C atm at constant temperature, What is the new volume in liters?","To solve the problem, follow these rough steps:

1. **Identify the Gas Law**: Recognize that this problem can be solved using Boyle's Law, which states that for a given mass of gas at constant temperature, the product of pressure and volume is constant (P1 * V1 = P2 * V2).

2. **Set Up the Equation**: Write down the initial conditions (P1, V1) and the final conditions (P2, V2) based on the information provided.

3. **Substitute Known Values**: Substitute the known values of initial pressure (P1), initial volume (V1), and final pressure (P2) into the equation.

4. **Rearrange the Equation**: Rearrange the equation to solve for the new volume (V2).

5. **Calculate the New Volume**: Perform the calculation to find the value of V2 using the rearranged equation.

6. **Interpret the Result**: Analyze the",var_A * var_B / var_C,"def solution(var_A, var_B, var_C):
    V1 = var_A
    P1 = var_B
    P2 = var_C
    V2 = (P1 * V1) / P2
    return V2","{'var_A': 2.0, 'var_B': 1.0, 'var_C': 3.0}",False,
A medical imaging technique resolves structures 0.5 mm in size. What is its resolution in micrometers?,Medical Imaging,500,500.0,500.0,500.0,A medical imaging technique resolves structures var_A mm in size. What is its resolution in micrometers?,"1. Identify the relationship between millimeters and micrometers, knowing that 1 millimeter equals 1000 micrometers.
2. Use the conversion factor to convert the resolution from millimeters to micrometers by multiplying the size in millimeters by the conversion factor.
3. State the final result as the resolution in micrometers.",var_A * 1000,"def solution(var_A):
    conversion_factor = 1000
    resolution_micrometers = var_A * conversion_factor
    return resolution_micrometers",{'var_A': 0.5},False,
The pH of a solution is 4. What is the concentration of hydrogen ions in mol/L?,pH Calculation,0.0001,0.0001,0.0001,0.0001,The pH of a solution is var_A What is the concentration of hydrogen ions in mol / L?,"1. Recall the relationship between pH and hydrogen ion concentration, which is given by the formula: \[ \text{pH} = -\log[\text{H}^+] \].

2. Rearrange the formula to solve for the concentration of hydrogen ions: \[ [\text{H}^+] = 10^{-\text{pH}} \].

3. Substitute the given pH value into the rearranged formula.

4. Calculate the concentration of hydrogen ions in mol/L using the exponential function.",10**(-var_A),"def solution(var_A):
    import math
    return 10 ** (-var_A)",{'var_A': 4.0},False,
An enzyme's catalytic rate is 250 molecules per second at 37°C. How many molecules are processed in 1 minute?,Enzyme Kinetics,15000,15000.0,15000.0,15000.0,An enzyme's catalytic rate is var_A molecules per second at var_B °C. How many molecules are processed in var_C minute?,"1. Identify the time duration for which the catalytic rate is given (1 minute).
2. Convert the time duration from minutes to seconds (since the rate is given in molecules per second).
3. Use the formula for total molecules processed: Total molecules = Catalytic rate × Time duration in seconds.
4. Substitute the catalytic rate and the converted time duration into the formula to find the total number of molecules processed.",var_A * (var_C * 60),"def solution(var_A, var_B, var_C):
    time_duration_seconds = var_C * 60
    total_molecules = var_A * time_duration_seconds
    return total_molecules","{'var_A': 250.0, 'var_B': 37.0, 'var_C': 1.0}",False,
"An electric field of 500 V/m accelerates an electron. What is its acceleration? (electron mass = 9.1e-31 kg, electron charge = 1.6e-19 C)",Electromagnetic Dynamics,8.79e+18,,,,"An electric field of var_A V / m accelerates an electron. What is its acceleration? ( electron mass = var_B e - var_C kg, electron charge = var_D e - var_E C )","1. **Identify the relationship between electric field and force**: Use the formula \( F = qE \), where \( F \) is the force on the electron, \( q \) is the charge of the electron, and \( E \) is the electric field strength.

2. **Calculate the force on the electron**: Substitute the known charge of the electron and the given electric field into the formula to find the force.

3. **Use Newton's second law to find acceleration**: Apply the formula \( a = \frac{F}{m} \), where \( a \) is the acceleration, \( F \) is the force calculated in the previous step, and \( m \) is the mass of the electron.

4. **Substitute the values**: Insert the calculated force and the known mass of the electron into the acceleration formula to find the acceleration of the electron. 

5. **Interpret the result**: Understand that the resulting value represents the acceleration of",(var_D * e - var_E) * var_A / (var_B * e - var_C),"def solution(var_A, var_B, var_C, var_D, var_E):
    e = 1.602176634e-19  # Charge of an electron in coulombs
    mass = var_B * e - var_C  # Mass of the electron in kg
    charge = var_D * e - var_E  # Charge of the electron in coulombs
    force = charge * var_A  # Force on the electron in newtons
    acceleration = force / mass  # Acceleration in m/s^2
    return acceleration","{'var_A': 500.0, 'var_B': 9.1, 'var_C': 31.0, 'var_D': 1.6, 'var_E': 19.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
A cancer therapy delivers 2 Gy radiation dose per treatment. What is the total radiation exposure after 5 fractions?,Radiation Oncology,10.0,10.0,10.0,10.0,A cancer therapy delivers var_A Gy radiation dose per treatment. What is the total radiation exposure after var_B fractions?,"1. Identify the radiation dose delivered per treatment, which is given as 2 Gy.
2. Determine the number of treatment fractions, which is given as 5.
3. Use the formula for total radiation exposure: Total Exposure = Dose per Treatment × Number of Treatments.
4. Substitute the known values into the formula to calculate the total radiation exposure.
5. Interpret the result in the context of radiation therapy.",var_A * var_B,"def solution(var_A, var_B):
    total_exposure = var_A * var_B
    return total_exposure","{'var_A': 2.0, 'var_B': 5.0}",False,
A capacitor has a capacitance of 5 μF and is charged to a potential difference of 10 V. What is the charge stored in the capacitor?,Capacitance,50.0,50.0,50.0,50.0,A capacitor has a capacitance of var_A μF and is charged to a potential difference of var_B V. What is the charge stored in the capacitor?,"1. Identify the formula for the charge stored in a capacitor, which is given by the equation: \( Q = C \times V \), where \( Q \) is the charge, \( C \) is the capacitance, and \( V \) is the potential difference.

2. Substitute the known values of capacitance and potential difference into the formula.

3. Perform the multiplication of capacitance and potential difference to find the charge stored in the capacitor.

4. Ensure that the units are consistent, and convert if necessary to express the charge in the desired unit (e.g., microcoulombs). 

5. State the final result for the charge stored in the capacitor.",var_A * var_B,"def solution(var_A, var_B):
    Q = var_A * var_B
    return Q","{'var_A': 5.0, 'var_B': 10.0}",False,
A car accelerates from rest at a constant rate of 2 m/s^2 for 5 seconds. What is its final velocity?,Kinematics,10.0,,,,A car accelerates from rest at a constant rate of var_A m / s ^ var_B for var_C seconds. What is its final velocity?,"1. Identify the initial velocity of the car, which is given as rest (0 m/s).
2. Recognize that the car accelerates at a constant rate, which is provided (2 m/s²).
3. Determine the time duration of the acceleration, which is given (5 seconds).
4. Use the formula for final velocity under constant acceleration: Final Velocity = Initial Velocity + (Acceleration × Time).
5. Substitute the known values into the formula to calculate the final velocity.",0 + (var_A * var_C),"def solution(var_A, var_B, var_C):
    initial_velocity = 0
    acceleration = var_A ** var_B
    time = var_C
    final_velocity = initial_velocity + (acceleration * time)
    return final_velocity","{'var_A': 2.0, 'var_B': 2.0, 'var_C': 5.0}",True,int too large to convert to float
The frequency of a wave is 500 Hz and its wavelength is 0.7 m. What is its speed in m/s?,Wave Speed,350.0,350.0,350.0,350.0,The frequency of a wave is var_A Hz and its wavelength is var_B m. What is its speed in m / s?,"To find the speed of the wave, follow these rough steps:

1. **Identify the relationship**: Use the wave speed formula, which states that speed (v) is equal to frequency (f) multiplied by wavelength (λ). The formula is:  
   \( v = f \times λ \)

2. **Substitute the known values**: Plug in the given frequency and wavelength into the formula.

3. **Calculate the speed**: Perform the multiplication to find the speed of the wave in meters per second (m/s).

4. **Interpret the result**: Ensure that the calculated speed is in the correct units and make any necessary conclusions based on the context of the problem.",var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 500.0, 'var_B': 0.7}",False,
"A bacterial population doubles every 20 minutes. Starting with 1000 cells, How many cells after 60 minutes?",Bacterial Growth,8000,,8000.0,8000.0,"A bacterial population doubles every var_A minutes. Starting with var_B cells, How many cells after var_C minutes?","1. Identify the time interval for which the population doubles (20 minutes).
2. Determine how many doubling periods fit into the total time of 60 minutes (60 minutes divided by 20 minutes).
3. Use the formula for exponential growth, which states that the population after a certain number of doubling periods can be calculated as: initial population multiplied by 2 raised to the power of the number of doubling periods.
4. Substitute the initial population (1000 cells) and the number of doubling periods into the formula to find the final population after 60 minutes.",var_B * (2 ** (var_C / var_A)),"def solution(var_A, var_B, var_C):
    doubling_periods = var_C // var_A
    final_population = var_B * (2 ** doubling_periods)
    return final_population","{'var_A': 20.0, 'var_B': 1000.0, 'var_C': 60.0}",True,'Code_Result'
"A 5 kg object moving at 3 m/s collides with a stationary 3 kg object. After collision, they move together. What is their final velocity?",Conservation of Momentum,1.875,1.875,1.875,1.875,"A var_A kg object moving at var_B m / s collides with a stationary var_C kg object. After collision, they move together. What is their final velocity?","To find the final velocity of the two objects after the collision, follow these rough steps:

1. **Identify the type of collision**: Recognize that this is a perfectly inelastic collision since the two objects stick together after colliding.

2. **Use the principle of conservation of momentum**: Recall that the total momentum before the collision equals the total momentum after the collision.

3. **Write the momentum equation**: Set up the equation for momentum before the collision (mass of the first object times its velocity plus mass of the second object times its velocity) and equate it to the momentum after the collision (combined mass times final velocity).

4. **Combine the masses**: Calculate the total mass of the two objects after the collision, which is the sum of their individual masses.

5. **Solve for the final velocity**: Rearrange the momentum equation to isolate the final velocity, using the total momentum before the collision and the combined mass after the collision.

6. **Interpret the",(var_A * var_B) / (var_A + var_C),"def solution(var_A, var_B, var_C):
    total_momentum_before = var_A * var_B + var_C * 0
    total_mass_after = var_A + var_C
    final_velocity = total_momentum_before / total_mass_after
    return final_velocity","{'var_A': 5.0, 'var_B': 3.0, 'var_C': 3.0}",False,
A chemical buffer has a pKa of 7 and initial concentration of 0.1 M. What is its pH at 25°C?,Buffer Solution,7.0,,,,A chemical buffer has a pKa of var_A and initial concentration of var_B M. What is its pH at var_C °C?,"1. Recall the Henderson-Hasselbalch equation, which relates pH, pKa, and the concentrations of the acid and its conjugate base in a buffer solution:  
   pH = pKa + log([A-]/[HA]).

2. Identify the given pKa value and the initial concentration of the buffer.

3. Determine the ratio of the concentrations of the conjugate base ([A-]) and the acid ([HA]) in the buffer solution. 

4. Substitute the known pKa value into the Henderson-Hasselbalch equation.

5. If the concentrations of the acid and conjugate base are equal, simplify the equation to find the pH.

6. If the concentrations are not equal, calculate the log of the ratio of the concentrations and add it to the pKa to find the pH. 

7. Conclude with the calculated pH value based on the above steps.",var_A + log(var_B/var_B),"def solution(var_A, var_B, var_C):
    import math
    # Assuming equal concentrations of acid and conjugate base
    pKa = var_A
    concentration = var_B
    # Since [A-] = [HA], the ratio is 1, thus log(1) = 0
    pH = pKa + math.log10(1)  # log(1) is 0
    return pH","{'var_A': 7.0, 'var_B': 0.1, 'var_C': 25.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
A 5 kg object is lifted 2 meters against gravity (g = 9.8 m/s²). How much potential energy does it gain in Joules?,Gravitational Potential Energy,98.0,98.0,98.0,98.0,A var_A kg object is lifted var_B meters against gravity ( g = var_C m / s² ) . How much potential energy does it gain in Joules?,"1. Identify the formula for gravitational potential energy, which is given by the equation: Potential Energy (PE) = mass × gravity × height.

2. Substitute the known values into the formula: mass is 5 kg, gravity is 9.8 m/s², and height is 2 meters.

3. Calculate the product of mass and gravity to find the weight of the object.

4. Multiply the weight of the object by the height to find the total potential energy gained.

5. State the final result in Joules, as potential energy is measured in this unit.",var_A * var_C * var_B,"def solution(var_A, var_B, var_C):
    potential_energy = var_A * var_C * var_B
    return potential_energy","{'var_A': 5.0, 'var_B': 2.0, 'var_C': 9.8}",False,
"The density of gold is 19.3 g/cm³. If you have a cube of gold with side length 2 cm, What is its mass in grams?",Density Calculation,154.4,154.4,154.4,154.4,"The density of gold is var_A g / cm³. If you have a cube of gold with side length var_B cm, What is its mass in grams?","1. Identify the formula for the volume of a cube, which is given by the formula: Volume = side length³.

2. Calculate the volume of the gold cube using the side length provided.

3. Use the known density of gold (19.3 g/cm³) to relate mass and volume with the formula: Mass = Density × Volume.

4. Substitute the calculated volume into the mass formula to find the mass of the gold cube. 

5. Ensure the final answer is in grams, as the density is given in g/cm³.",var_A * (var_B ** 3),"def solution(var_A, var_B):
    volume = var_B ** 3
    mass = var_A * volume
    return mass","{'var_A': 19.3, 'var_B': 2.0}",False,
The molar mass of NaOH is 40 g/mol. Calculate the mass of 2 moles of NaOH. What is the mass?,Molar Mass,80.0,80.0,80.0,80.0,The molar mass of NaOH is var_A g / mol. Calculate the mass of var_B moles of NaOH. What is the mass?,"1. Identify the relationship between moles and mass using the formula: Mass = Moles × Molar Mass.
2. Substitute the known values into the formula: Use the molar mass of NaOH and the number of moles given.
3. Perform the multiplication to find the mass of NaOH.
4. State the final result as the mass of 2 moles of NaOH.",var_A * var_B,"def solution(var_A, var_B):
    mass = var_A * var_B
    return mass","{'var_A': 40.0, 'var_B': 2.0}",False,
A nanomaterial has a surface area of 50 m²/g. What is its specific surface area in cm²/mg?,Materials Engineering,5000,500.0,500.0,500.0,A nanomaterial has a surface area of var_A m² / g. What is its specific surface area in cm² / mg?,"To find the specific surface area in cm²/mg from the given surface area in m²/g, follow these steps:

1. **Convert the surface area from m²/g to cm²/g**: Use the conversion factor that 1 m² is equal to 10,000 cm².

2. **Convert the surface area from cm²/g to cm²/mg**: Since there are 1,000 mg in a gram, divide the surface area in cm²/g by 1,000 to convert it to cm²/mg.

3. **Combine the conversions**: Apply the conversions sequentially to find the specific surface area in the desired units.

4. **Check the units**: Ensure that the final answer is expressed correctly in cm²/mg after performing the conversions. 

By following these steps, you will arrive at the specific surface area in the required units.",(var_A * 10000) / 1000,"def solution(var_A):
    cm2_per_g = var_A * 10000
    cm2_per_mg = cm2_per_g / 1000
    return cm2_per_mg",{'var_A': 50.0},False,
A 5 Ω and a 10 Ω resistor are connected in parallel. What is their equivalent resistance in ohms?,Parallel Resistance,3.33,3.333333333333333,3.333333333333333,3.333333333333333,A var_A Ω and a var_B Ω resistor are connected in parallel. What is their equivalent resistance in ohms?,"To find the equivalent resistance of resistors connected in parallel, follow these steps:

1. **Identify the formula for equivalent resistance in parallel**: Use the formula for two resistors in parallel, which is given by \( \frac{1}{R_{eq}} = \frac{1}{R_1} + \frac{1}{R_2} \).

2. **Substitute the known resistances**: Replace \( R_1 \) and \( R_2 \) in the formula with the values of the resistors (5 Ω and 10 Ω).

3. **Calculate the reciprocal of the equivalent resistance**: Perform the addition of the reciprocals of the individual resistances.

4. **Take the reciprocal of the result**: Once you have the sum of the reciprocals, take the reciprocal of that sum to find the equivalent resistance \( R_{eq} \).

5. **State the final result**: The value obtained will be the equivalent resistance in",1 / (1 / var_A + 1 / var_B),"def solution(var_A, var_B):
    R_eq = 1 / (1 / var_A + 1 / var_B)
    return R_eq","{'var_A': 5.0, 'var_B': 10.0}",False,
"The half-life of a radioactive isotope is 5 hours. Starting with 100 grams, How many grams remain after 15 hours?",Radioactive Decay,12.5,12.5,12.5,12.5,"The half - life of a radioactive isotope is var_A hours. Starting with var_B grams, How many grams remain after var_C hours?","1. Identify the half-life of the radioactive isotope, which is given as 5 hours.
2. Determine the total time elapsed, which is 15 hours.
3. Calculate the number of half-lives that have passed by dividing the total time elapsed by the half-life duration.
4. Use the formula for radioactive decay, which states that the remaining amount of substance can be calculated as: Remaining amount = Initial amount × (1/2)^(number of half-lives).
5. Substitute the initial amount (100 grams) and the calculated number of half-lives into the formula to find the remaining amount.",var_B * (1/2)**(var_C / var_A),"def solution(var_A, var_B, var_C):
    half_lives = var_C / var_A
    remaining_amount = var_B * (0.5 ** half_lives)
    return remaining_amount","{'var_A': 5.0, 'var_B': 100.0, 'var_C': 15.0}",False,
An ideal gas expands from 2 L to 5 L at constant temperature of 300 K. What is the pressure change ratio?,Gas Law Thermodynamics,0.4,0.4,0.4,0.4,An ideal gas expands from var_A L to var_B L at constant temperature of var_C K. What is the pressure change ratio?,"To find the pressure change ratio for the ideal gas expanding from one volume to another at constant temperature, follow these steps:

1. **Identify the Initial and Final Volumes**: Recognize the initial volume (V1) and the final volume (V2) of the gas.

2. **Apply Boyle's Law**: Recall that for an ideal gas at constant temperature, Boyle's Law states that P1 * V1 = P2 * V2, where P1 is the initial pressure and P2 is the final pressure.

3. **Rearrange the Equation**: From Boyle's Law, rearrange the equation to express the pressure change ratio as P2/P1 = V1/V2.

4. **Substitute the Known Volumes**: Substitute the values of V1 and V2 into the rearranged equation to find the pressure change ratio.

5. **Interpret the Result**: Analyze the result to understand how the pressure changes relative to the initial pressure based on",var_A/var_B,"def solution(var_A, var_B, var_C):
    P1_P2_ratio = var_A / var_B
    return P1_P2_ratio","{'var_A': 2.0, 'var_B': 5.0, 'var_C': 300.0}",False,
"A radioactive isotope has a half-life of 10 days. After 30 days, What fraction of the original sample remains?",Radioactive Decay,0.125,0.125,0.125,0.125,"A radioactive isotope has a half - life of var_A days. After var_B days, What fraction of the original sample remains?","1. Identify the concept of half-life, which is the time required for half of a radioactive substance to decay.
2. Determine how many half-lives have passed in the given time period (30 days).
3. Use the formula for remaining quantity after a certain number of half-lives: Remaining fraction = (1/2)^(number of half-lives).
4. Calculate the number of half-lives by dividing the total time (30 days) by the half-life duration (10 days).
5. Substitute the number of half-lives into the remaining fraction formula to find the fraction of the original sample that remains.",(1/2)**(var_B/var_A),"def solution(var_A, var_B):
    number_of_half_lives = var_B / var_A
    remaining_fraction = (1/2) ** number_of_half_lives
    return remaining_fraction","{'var_A': 10.0, 'var_B': 30.0}",False,
The average kinetic energy of gas molecules at 300 K is 6.21 x 1e-21 J. What is the average kinetic energy at 600 K?,Kinetic Theory,1.242e-20,,-8.58,26.082,The average kinetic energy of gas molecules at var_A K is var_B x var_C e - var_D J. What is the average kinetic energy at var_E K?,"To find the average kinetic energy of gas molecules at a different temperature, follow these steps:

1. **Understand the relationship between temperature and kinetic energy**: The average kinetic energy of gas molecules is directly proportional to the absolute temperature (in Kelvin). This relationship can be expressed using the formula:  
   \[ KE \propto T \]

2. **Identify the initial and final temperatures**: Note the initial temperature (300 K) and the final temperature (600 K).

3. **Set up the proportionality**: Since the average kinetic energy is proportional to temperature, you can express the average kinetic energy at the new temperature as:  
   \[ KE_{new} = KE_{initial} \times \frac{T_{new}}{T_{initial}} \]

4. **Substitute the known values**: Replace \( KE_{initial} \) with the given average kinetic energy at 300 K and substitute the temperatures into the equation.

5. **Calculate the new",(var_B * var_C * var_E / var_A) - var_D,"def solution(var_A, var_B, var_C, var_D, var_E):
    KE_initial = var_B * var_C * 1e-1 * var_D  # Average kinetic energy at var_A K
    KE_new = KE_initial * (var_E / var_A)  # Average kinetic energy at var_E K
    return KE_new","{'var_A': 300.0, 'var_B': 6.21, 'var_C': 1.0, 'var_D': 21.0, 'var_E': 600.0}",True,'Code_Result'
"A wire of length 2 m has a resistance of 10 Ω. If its length is doubled, What is its new resistance?",Resistance and Length,20.0,20.0,20.0,20.0,"A wire of length var_A m has a resistance of var_B Ω. If its length is doubled, What is its new resistance?","1. Understand that resistance of a wire is directly proportional to its length. This relationship can be expressed using the formula: \( R \propto L \), where \( R \) is resistance and \( L \) is length.

2. Identify that if the length of the wire is doubled, the new length will be twice the original length.

3. Apply the proportionality concept to determine how the resistance changes when the length is doubled. Since resistance is proportional to length, if the length is doubled, the new resistance will also be doubled.

4. Calculate the new resistance by multiplying the original resistance by 2, since the length is doubled.

5. Conclude with the new resistance value based on the calculation from the previous step.",2 * var_B,"def solution(var_A, var_B):
    new_resistance = var_B * 2
    return new_resistance","{'var_A': 2.0, 'var_B': 10.0}",False,
"The specific heat capacity of water is 4.18 J/(g·°C). To raise the temperature of 100g of water by 5°C, How much energy is required in Joules?",Heat Capacity,2090.0,2090.0,2090.0,2090.0,"The specific heat capacity of water is var_A J / ( g·°C ) . To raise the temperature of var_B g of water by var_C °C, How much energy is required in Joules?","1. Identify the formula for calculating the energy required to change the temperature of a substance, which is given by the equation:  
   Energy (Q) = mass (m) × specific heat capacity (c) × change in temperature (ΔT).

2. Substitute the known values into the formula:  
   - mass (m) is given as 100g,  
   - specific heat capacity (c) is given as 4.18 J/(g·°C),  
   - change in temperature (ΔT) is given as 5°C.

3. Perform the multiplication of the three values to find the total energy required:  
   Q = 100g × 4.18 J/(g·°C) × 5°C.

4. Calculate the result to determine the energy in Joules. 

5. Ensure the units are consistent and confirm that the final answer is in Joules.",var_B * var_A * var_C,"def solution(var_A, var_B, var_C):
    Q = var_B * var_A * var_C
    return Q","{'var_A': 4.18, 'var_B': 100.0, 'var_C': 5.0}",False,
A patient's blood glucose level increases from 90 to 140 mg/dL after a meal. What is the percentage increase in blood glucose?,Medical Diagnostics,55.6,55.55555555555556,55.55555555555556,55.55555555555556,A patient's blood glucose level increases from var_A to var_B mg / dL after a meal. What is the percentage increase in blood glucose?,"To find the percentage increase in blood glucose, follow these rough steps:

1. **Identify the initial and final values**: Recognize that the initial blood glucose level is the starting point, and the final blood glucose level is the value after the meal.

2. **Calculate the increase in blood glucose**: Subtract the initial blood glucose level from the final blood glucose level to find the absolute increase.

3. **Use the percentage increase formula**: Apply the formula for percentage increase, which is given by:
   \[
   \text{Percentage Increase} = \left( \frac{\text{Increase}}{\text{Initial Value}} \right) \times 100
   \]

4. **Substitute the values into the formula**: Plug in the absolute increase and the initial blood glucose level into the percentage increase formula.

5. **Calculate the result**: Perform the calculation to find the percentage increase in blood glucose level. 

By following these steps, you will determine",((var_B - var_A) / var_A) * 100,"def solution(var_A, var_B):
    increase = var_B - var_A
    percentage_increase = (increase / var_A) * 100
    return percentage_increase","{'var_A': 90.0, 'var_B': 140.0}",False,
A worker is paid $15 per hour. If they work for 8 hours. What is their total pay?,Multiplication,120.0,120.0,120.0,120.0,A worker is paid $ var_A per hour. If they work for var_B hours. What is their total pay?,"1. Identify the hourly wage of the worker.
2. Determine the total number of hours worked.
3. Use the formula for total pay: Total Pay = Hourly Wage × Total Hours Worked.
4. Substitute the known values into the formula.
5. Calculate the total pay based on the multiplication of the hourly wage and the total hours worked.",var_A * var_B,"def solution(var_A, var_B):
    total_pay = var_A * var_B
    return total_pay","{'var_A': 15.0, 'var_B': 8.0}",False,
A transformer steps voltage down from 220 V to 110 V. What is the turns ratio of its primary to secondary windings?,Electrical Transformer,2.0,2.0,2.0,2.0,A transformer steps voltage down from var_A V to var_B V. What is the turns ratio of its primary to secondary windings?,"To find the turns ratio of the primary to secondary windings of a transformer, follow these steps:

1. **Understand the relationship**: Recall that the voltage ratio in a transformer is equal to the turns ratio of the primary (input) winding to the secondary (output) winding.

2. **Use the formula**: The formula for the turns ratio (N) is given by:
   \[
   N = \frac{V_{primary}}{V_{secondary}}
   \]
   where \(V_{primary}\) is the voltage across the primary winding and \(V_{secondary}\) is the voltage across the secondary winding.

3. **Substitute the known values**: Substitute the given voltages (220 V for primary and 110 V for secondary) into the formula.

4. **Calculate the ratio**: Perform the division to find the turns ratio.

5. **Interpret the result**: The resulting value will indicate how many turns of wire are in the primary winding",var_A / var_B,"def solution(var_A, var_B):
    return var_A / var_B","{'var_A': 220.0, 'var_B': 110.0}",False,
"The de Broglie wavelength of an electron is 1 nm. If its mass is 9.1 × 10⁻³¹ kg, What is its velocity in m/s?",de Broglie Wavelength,728000.0,,,,"The de Broglie wavelength of an electron is var_A nm. If its mass is var_B × var_C ⁻³¹ kg, What is its velocity in m / s?","To find the velocity of the electron given its de Broglie wavelength and mass, follow these steps:

1. **Recall the de Broglie wavelength formula**: The de Broglie wavelength (λ) is related to the momentum (p) of a particle by the formula: λ = h / p, where h is Planck's constant.

2. **Express momentum in terms of velocity**: Momentum (p) can be expressed as p = m * v, where m is the mass of the electron and v is its velocity.

3. **Combine the formulas**: Substitute the expression for momentum into the de Broglie wavelength formula to get: λ = h / (m * v).

4. **Rearrange the equation to solve for velocity**: Rearrange the equation to isolate v: v = h / (m * λ).

5. **Substitute known values**: Plug in the values for h (Planck's constant), m (mass of",h / (var_B * var_C ** -31 * var_A * 1e-9),"def solution(var_A, var_B, var_C):
    h = 6.62607015e-34  # Planck's constant in J·s
    mass = var_B * (10 ** var_C) * 1e-31  # mass in kg
    wavelength = var_A * 1e-9  # wavelength in meters
    velocity = h / (mass * wavelength)  # velocity in m/s
    return velocity","{'var_A': 1.0, 'var_B': 9.1, 'var_C': 10.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
"A 0.1 M HCl solution has a pH of 1. If it is diluted 10 times, What is its new pH?",Dilution and pH,2.0,,,,"A var_A M HCl solution has a pH of var_B If it is diluted var_C times, What is its new pH?","1. Understand that pH is calculated using the formula: pH = -log[H⁺], where [H⁺] is the concentration of hydrogen ions in the solution.

2. Recognize that diluting the solution 10 times will decrease the concentration of H⁺ ions by a factor of 10.

3. Calculate the new concentration of H⁺ ions after dilution by dividing the original concentration by 10.

4. Substitute the new concentration of H⁺ ions into the pH formula to find the new pH.

5. Simplify the calculation using logarithmic properties, if necessary, to determine the final pH value.",var_B + log(var_C),"def solution(var_A, var_B, var_C):
    import math
    H_concentration = 10 ** (-var_B)
    new_H_concentration = H_concentration / var_C
    new_pH = -math.log10(new_H_concentration)
    return new_pH","{'var_A': 0.1, 'var_B': 1.0, 'var_C': 10.0}",True,"float() argument must be a string or a real number, not 'NoneType'"
A lens with focal length 10 cm forms an image 30 cm from its center. What is the object distance?,Optics Imaging,15.0,,0.06666666666666668,14.999999999999996,A lens with focal length var_A cm forms an image var_B cm from its center. What is the object distance?,"1. Identify the lens formula, which relates the object distance (u), image distance (v), and focal length (f): \( \frac{1}{f} = \frac{1}{u} + \frac{1}{v} \).

2. Substitute the known values into the lens formula: use the given focal length and image distance.

3. Rearrange the lens formula to solve for the object distance (u).

4. Calculate the object distance using the rearranged formula. 

5. Ensure to consider the sign conventions for the distances based on the type of lens and the position of the object and image.",1/(var_A) - 1/(var_B),"def solution(var_A, var_B):
    f = var_A
    v = var_B
    u = 1 / ((1 / f) - (1 / v))
    return u","{'var_A': 10.0, 'var_B': 30.0}",True,'Code_Result'
A sample contains 12 grams of carbon-12. How many moles of carbon are in the sample?,Mole Calculation,1.0,,,,A sample contains var_A grams of carbon - var_B How many moles of carbon are in the sample?,"1. Identify the molar mass of carbon-12, which is a known constant.
2. Use the formula for calculating moles: Moles = Mass (grams) / Molar Mass (grams/mole).
3. Substitute the mass of carbon-12 from the problem into the formula.
4. Perform the division to find the number of moles of carbon in the sample.",(var_A - var_B) / 12,"def solution(var_A, var_B):
    molar_mass_carbon = 12.01  # Molar mass of carbon-12 in grams/mole
    mass_of_carbon = var_A - var_B
    moles_of_carbon = mass_of_carbon / molar_mass_carbon
    return moles_of_carbon","{'var_A': 12.0, 'var_B': 12.0}",True,float division by zero
