Question,Type,Correct Answer,Predicted Answer,Predicted Algebraic Answer,Predicted Python Answer,Generated Algebraic Template,Generated Expression,Generated Python Code,Variable Mapping,Error,Error Message
A 2 kg mass is attached to a spring with spring constant 50 N/m. What is the period of oscillation in seconds?,Simple Harmonic Motion,1.26,1.25,1.256636,1.2566370614359172,A var_A kg mass is attached to a spring with spring constant var_B N / m. What is the period of oscillation in seconds?,2 * 3.14159 * (var_A / var_B) ** 0.5,"import math

def solution(var_A, var_B):
    return 2 * math.pi * math.sqrt(var_A / var_B)","{'var_A': 2.0, 'var_B': 50.0}",False,
"A company's revenue grows by 5% each year. If the initial revenue is $1000, What will be the revenue after 3 years?",Compound Growth,1157.63,1157.63,1157.6250000000002,1157.6250000000002,A company's revenue grows by var_A % each year. If the initial revenue is $ var_B What will be the revenue after var_C years?,var_B * (1 + var_A / 100) ** var_C,"def solution(var_A, var_B, var_C):
    return var_B * ((1 + var_A / 100) ** var_C)","{'var_A': 5.0, 'var_B': 1000.0, 'var_C': 3.0}",False,
"A genetic mutation occurs in 2 out of 10,000 individuals. What is its prevalence as a percentage?",Epidemiology,0.02,0.02,0.02,0.02,A genetic mutation occurs in var_A out of var_B individuals. What is its prevalence as a percentage?,(var_A / var_B) * 100,"def solution(var_A, var_B):
    if var_B == 0:
        return 0
    return (var_A / var_B) * 100","{'var_A': 2.0, 'var_B': 10000.0}",False,
A molecular motor moves 10 nm per ATP hydrolysis. How many steps to move 1 μm?,Cellular Biomechanics,100,100,100.0,100,A molecular motor moves var_A nm per ATP hydrolysis. How many steps to move var_B μm?,(var_B * 1e3) / var_A,"def solution(var_A, var_B):
    return int((var_B * 1e3) / var_A)","{'var_A': 10.0, 'var_B': 1.0}",False,
A microorganism population grows logistically from 100 to 1000 cells. What is its carrying capacity? (at halfway point),Population Dynamics,500,550,550.0,550.0,A microorganism population grows logistically from var_A to var_B cells. What is its carrying capacity? ( at halfway point ),(var_A + var_B) / 2,"def solution(var_A, var_B):
    return (var_A + var_B) / 2","{'var_A': 100.0, 'var_B': 1000.0}",False,
"A company's profit margin is 15%. If their revenue is $1000, What is their profit?",Profit Calculation,150.0,150,150.0,150.0,A company's profit margin is var_A %. If their revenue is $ var_B What is their profit?,var_B * (var_A / 100),"def solution(var_A, var_B):
    profit = (var_A / 100) * var_B
    return profit","{'var_A': 15.0, 'var_B': 1000.0}",False,
A recombinant protein has a production rate of 0.5 mg/L per hour. What is its yield after 48 hours in a 10 L bioreactor?,Biotechnology,240,240,240.0,240.0,A recombinant protein has a production rate of var_A mg / L per hour. What is its yield after var_B hours in a var_C L bioreactor?,var_A * var_B * var_C,"def solution(var_A, var_B, var_C):
    return var_A * var_B * var_C","{'var_A': 0.5, 'var_B': 48.0, 'var_C': 10.0}",False,
A capacitor stores 0.005 C of charge at 12 V potential difference. What is its capacitance in Farads?,Electrical Capacitance,0.000417,0,0.0004166666666666667,0.0004166666666666667,A capacitor stores var_A C of charge at var_B V potential difference. What is its capacitance in Farads?,var_A / var_B,"def solution(var_A, var_B):
    return var_A / var_B","{'var_A': 0.005, 'var_B': 12.0}",False,
A neurotransmitter concentration changes from 50 to 75 nM in synaptic cleft. What is its relative concentration change in percentage?,Neurochemistry,50.0,50,50.0,50.0,A neurotransmitter concentration changes from var_A to var_B nM in synaptic cleft. What is its relative concentration change in percentage?,((var_B - var_A) / var_A) * 100,"def solution(var_A, var_B):
    return ((var_B - var_A) / var_A) * 100","{'var_A': 50.0, 'var_B': 75.0}",False,
"A viral load decreases from 100,000 to 1,000 copies/mL after treatment. What is the log reduction?",Virology,2.0,,,,A viral load decreases from var_A to var_B copies / mL after treatment. What is the log reduction?,import math; log_reduction = math.log(var_A / var_B),"import math

def solution(var_A, var_B):
    return math.log10(var_A / var_B)","{'var_A': 100000.0, 'var_B': 1000.0}",True,"must be real number, not NoneType"
A solution has a pH of 3. What is the concentration of H⁺ ions in mol/L? What is [H⁺]?,pH and H⁺ Concentration,0.001,0.001,0.001,0.001,A solution has a pH of var_A What is the concentration of H⁺ ions in mol / L? What is [H⁺]?,10**(-var_A),"def solution(var_A):
    return 10 ** (-var_A)",{'var_A': 3.0},False,
The focal length of a convex lens is 20 cm. An object is placed 30 cm from the lens. At what distance from the lens does the image form?,Lens Equation,60.0,,,,The focal length of a convex lens is var_A cm. An object is placed var_B cm from the lens. At what distance from the lens does the image form?,1 / var_focal_length - 1 / var_object_distance = 1 / var_image_distance,"def solution(var_A, var_B):
    f = var_A  # focal length
    u = -var_B  # object distance (negative as per sign convention)
    v = 1 / ((1 / f) - (1 / u))  # image distance
    return round(v, 2)","{'var_A': 20.0, 'var_B': 30.0}",True,"must be real number, not NoneType"
A light bulb operates at 100 W and 220 V. What is the current through the bulb?,Electric Power,0.4545,0.4545,0.45454545454545453,0.45454545454545453,A light bulb operates at var_A W and var_B V. What is the current through the bulb?,var_A / var_B,"def solution(var_A, var_B):
    return var_A / var_B","{'var_A': 100.0, 'var_B': 220.0}",False,
A car accelerates from 0 to 20 m/s in 10 seconds. What is its acceleration in m/s²?,Acceleration,2.0,2,2.0,2.0,A car accelerates from var_A to var_B m / s in var_C seconds. What is its acceleration in m / s²?,(var_B - var_A) / var_C,"def solution(var_A, var_B, var_C):
    return (var_B - var_A) / var_C","{'var_A': 0.0, 'var_B': 20.0, 'var_C': 10.0}",False,
"A quantum spin-1/2 particle experiences a magnetic field of 1 Tesla. What is its Larmor precession frequency? (ℏ = 1.055e-34 J·s, electron g-factor = 2, μB = 9.274e-24 J/T)",Quantum Magnetism,176000000000.0,,0.5170894898243658,17.581042654028433,"A quantum spin - var_A / var_B particle experiences a magnetic field of var_C Tesla. What is its Larmor precession frequency? ( ℏ = var_D e - var_E J·s, electron g - factor = var_F μB = var_G e - var_H J / T )",(var_F * var_G * var_C) / (var_D * var_E),"def solution(var_A, var_B, var_C, var_D, var_E, var_F, var_G, var_H):
    hbar = var_D * 10**-9  # Convert to J·s
    g_factor = var_F
    mu_B = var_G * 10**-9  # Convert to J/T
    frequency = (g_factor * mu_B * var_C) / (hbar)
    return frequency","{'var_A': 1.0, 'var_B': 2.0, 'var_C': 1.0, 'var_D': 1.055, 'var_E': 34.0, 'var_F': 2.0, 'var_G': 9.274, 'var_H': 24.0}",False,
"The work function of a metal is 2.0 eV. If light of wavelength 400 nm falls on it, What is the maximum kinetic energy of ejected electrons in eV?",Photoelectric Effect,1.1,,-1.1,1.101750772,"The work function of a metal is var_A eV. If light of wavelength var_B nm falls on it, What is the maximum kinetic energy of ejected electrons in eV?",var_A - (1240 / var_B),"def solution(var_A, var_B):
    h = 4.135667696e-15  # Planck's constant in eV·s
    c = 3e8  # Speed of light in m/s
    wavelength_m = var_B * 1e-9  # Convert wavelength from nm to m
    energy_photon = h * c / wavelength_m  # Energy of the photon in eV
    max_kinetic_energy = energy_photon - var_A  # Maximum kinetic energy in eV
    return max_kinetic_energy","{'var_A': 2.0, 'var_B': 400.0}",False,
"The half-life of carbon-14 is 5730 years. If a sample has 25% of its original carbon-14, How old is it in years?",Radioactive Dating,11460.0,,11460.0,-11460.0,The half - life of carbon - var_A is var_B years. If a sample has var_C % of its original carbon - var_D How old is it in years?,var_B * (math.log(var_C / 100) / math.log(0.5)),"import math

def solution(var_A, var_B, var_C, var_D):
    return -var_B * math.log(var_C / 100) / math.log(0.5)","{'var_A': 14.0, 'var_B': 5730.0, 'var_C': 25.0, 'var_D': 14.0}",False,
A neuron fires an action potential with a duration of 2 ms. What is its frequency of firing?,Neurophysiology,500,,,,A neuron fires an action potential with a duration of var_A ms. What is its frequency of firing?,frequency = 1000 / var_A,"def solution(var_A):
    return 1000 / var_A if var_A > 0 else 0",{'var_A': 2.0},True,"must be real number, not NoneType"
A cylinder has a radius of 3 cm and a height of 5 cm. What is its volume in cubic cm?,Volume of Cylinder,141.3,,,,A cylinder has a radius of var_A cm and a height of var_B cm. What is its volume in cubic cm?,import math; volume = math.pi * (var_A ** 2) * var_B,"import math

def solution(var_A, var_B):
    volume = math.pi * (var_A ** 2) * var_B
    return volume","{'var_A': 3.0, 'var_B': 5.0}",True,"must be real number, not NoneType"
"The resistance of a circuit is 10 ohms, and the current is 2 A. What is the voltage across the circuit in volts?",Ohm's Law,20.0,20,20.0,20.0,"The resistance of a circuit is var_A ohms, and the current is var_B A. What is the voltage across the circuit in volts?",var_A * var_B,"def solution(var_A, var_B):
    return var_A * var_B","{'var_A': 10.0, 'var_B': 2.0}",False,
"A polymer has a molecular weight of 50,000 g/mol. How many monomers are in a chain? (Assume monomer MW = 100 g/mol)",Polymer Chemistry,500,500,500.0,500.0,A polymer has a molecular weight of var_A g / mol. How many monomers are in a chain? ( Assume monomer MW = var_B g / mol ),var_A / var_B,"def solution(var_A, var_B):
    return var_A / var_B","{'var_A': 50000.0, 'var_B': 100.0}",False,
